invoice_key,contract_key,invoice_date_key,due_date_key,paid_date_key,invoice_date,due_date,paid_date,amount_due,amount_paid,payment_status,principal_amount,interest_amount,invoice_number
41,3,20240819,20240902,20240906.0,2024-08-19,2024-09-02,2024-09-06,98.82,98.82,Paid,49.96,48.86,INV-000003-018
42,3,20240918,20241002,20241007.0,2024-09-18,2024-10-02,2024-10-07,98.82,98.82,Paid,49.96,48.86,INV-000003-019
43,3,20241018,20241101,20241031.0,2024-10-18,2024-11-01,2024-10-31,98.82,98.82,Paid,49.96,48.86,INV-000003-020
44,3,20241117,20241201,20241130.0,2024-11-17,2024-12-01,2024-11-30,98.82,98.82,Paid,49.96,48.86,INV-000003-021
45,3,20241217,20241231,20241228.0,2024-12-17,2024-12-31,2024-12-28,98.82,98.82,Paid,49.96,48.86,INV-000003-022
46,4,20240707,20240721,20240720.0,2024-07-07,2024-07-21,2024-07-20,88.74,88.74,Paid,56.25,32.49,INV-000004-001
47,4,20240806,20240820,20240904.0,2024-08-06,2024-08-20,2024-09-04,88.74,88.74,Late,56.25,32.49,INV-000004-002
48,4,20240905,20240919,20240923.0,2024-09-05,2024-09-19,2024-09-23,88.74,88.74,Paid,56.25,32.49,INV-000004-003
49,4,20241005,20241019,20241017.0,2024-10-05,2024-10-19,2024-10-17,88.74,88.74,Paid,56.25,32.49,INV-000004-004
50,4,20241104,20241118,20241116.0,2024-11-04,2024-11-18,2024-11-16,88.74,88.74,Paid,56.25,32.49,INV-000004-005
51,4,20241204,20241218,20241222.0,2024-12-04,2024-12-18,2024-12-22,88.74,88.74,Paid,56.25,32.49,INV-000004-006
52,5,20220819,20220902,,2022-08-19,2022-09-02,,179.04,0.0,Delinquent,97.84,81.21,INV-000005-001
53,5,20220918,20221002,,2022-09-18,2022-10-02,,179.04,0.0,Delinquent,97.84,81.21,INV-000005-002
54,5,20221018,20221101,20221102.0,2022-10-18,2022-11-01,2022-11-02,179.04,179.04,Paid,97.84,81.21,INV-000005-003
55,5,20221117,20221201,20221129.0,2022-11-17,2022-12-01,2022-11-29,179.04,179.04,Paid,97.84,81.21,INV-000005-004
56,5,20221217,20221231,20230101.0,2022-12-17,2022-12-31,2023-01-01,179.04,179.04,Paid,97.84,81.21,INV-000005-005
57,5,20230116,20230130,20230131.0,2023-01-16,2023-01-30,2023-01-31,179.04,179.04,Paid,97.84,81.21,INV-000005-006
58,5,20230215,20230301,20230305.0,2023-02-15,2023-03-01,2023-03-05,179.04,81.51,Partial,97.84,81.21,INV-000005-007
59,5,20230317,20230331,20230404.0,2023-03-17,2023-03-31,2023-04-04,179.04,179.04,Paid,97.84,81.21,INV-000005-008
60,5,20230416,20230430,20230428.0,2023-04-16,2023-04-30,2023-04-28,179.04,179.04,Paid,97.84,81.21,INV-000005-009
61,5,20230516,20230530,20230527.0,2023-05-16,2023-05-30,2023-05-27,179.04,179.04,Paid,97.84,81.21,INV-000005-010
62,5,20230615,20230629,20230703.0,2023-06-15,2023-06-29,2023-07-03,179.04,179.04,Paid,97.84,81.21,INV-000005-011
63,5,20230715,20230729,20230805.0,2023-07-15,2023-07-29,2023-08-05,179.04,179.04,Paid,97.84,81.21,INV-000005-012
64,5,20230814,20230828,20230825.0,2023-08-14,2023-08-28,2023-08-25,179.04,179.04,Paid,97.84,81.21,INV-000005-013
65,5,20230913,20230927,20230930.0,2023-09-13,2023-09-27,2023-09-30,179.04,179.04,Paid,97.84,81.21,INV-000005-014
66,5,20231013,20231027,20231102.0,2023-10-13,2023-10-27,2023-11-02,179.04,179.04,Paid,97.84,81.21,INV-000005-015
67,5,20231112,20231126,20231203.0,2023-11-12,2023-11-26,2023-12-03,179.04,179.04,Paid,97.84,81.21,INV-000005-016
68,5,20231212,20231226,20240102.0,2023-12-12,2023-12-26,2024-01-02,179.04,76.68,Partial,97.84,81.21,INV-000005-017
69,5,20240111,20240125,20240126.0,2024-01-11,2024-01-25,2024-01-26,179.04,179.04,Paid,97.84,81.21,INV-000005-018
70,5,20240210,20240224,20240222.0,2024-02-10,2024-02-24,2024-02-22,179.04,179.04,Paid,97.84,81.21,INV-000005-019
71,5,20240311,20240325,20240331.0,2024-03-11,2024-03-25,2024-03-31,179.04,179.04,Paid,97.84,81.21,INV-000005-020
72,5,20240410,20240424,20240430.0,2024-04-10,2024-04-24,2024-04-30,179.04,179.04,Paid,97.84,81.21,INV-000005-021
73,5,20240510,20240524,20240530.0,2024-05-10,2024-05-24,2024-05-30,179.04,179.04,Paid,97.84,81.21,INV-000005-022
74,5,20240609,20240623,20240624.0,2024-06-09,2024-06-23,2024-06-24,179.04,179.04,Paid,97.84,81.21,INV-000005-023
75,5,20240709,20240723,20240730.0,2024-07-09,2024-07-23,2024-07-30,179.04,179.04,Paid,97.84,81.21,INV-000005-024
76,6,20231128,20231212,20231215.0,2023-11-28,2023-12-12,2023-12-15,363.26,363.26,Paid,213.06,150.21,INV-000006-001
77,6,20231228,20240111,20240110.0,2023-12-28,2024-01-11,2024-01-10,363.26,363.26,Paid,213.06,150.21,INV-000006-002
78,6,20240127,20240210,20240212.0,2024-01-27,2024-02-10,2024-02-12,363.26,363.26,Paid,213.06,150.21,INV-000006-003
79,6,20240226,20240311,20240309.0,2024-02-26,2024-03-11,2024-03-09,363.26,363.26,Paid,213.06,150.21,INV-000006-004
80,6,20240327,20240410,20240414.0,2024-03-27,2024-04-10,2024-04-14,363.26,363.26,Paid,213.06,150.21,INV-000006-005
81,6,20240426,20240510,20240514.0,2024-04-26,2024-05-10,2024-05-14,363.26,162.54,Partial,213.06,150.21,INV-000006-006
82,6,20240526,20240609,20240613.0,2024-05-26,2024-06-09,2024-06-13,363.26,363.26,Paid,213.06,150.21,INV-000006-007
83,6,20240625,20240709,20240708.0,2024-06-25,2024-07-09,2024-07-08,363.26,363.26,Paid,213.06,150.21,INV-000006-008
84,6,20240725,20240808,20240815.0,2024-07-25,2024-08-08,2024-08-15,363.26,363.26,Paid,213.06,150.21,INV-000006-009
85,6,20240824,20240907,,2024-08-24,2024-09-07,,363.26,0.0,Delinquent,213.06,150.21,INV-000006-010
86,6,20240923,20241007,20241009.0,2024-09-23,2024-10-07,2024-10-09,363.26,363.26,Paid,213.06,150.21,INV-000006-011
87,6,20241023,20241106,20241104.0,2024-10-23,2024-11-06,2024-11-04,363.26,363.26,Paid,213.06,150.21,INV-000006-012
88,6,20241122,20241206,20241206.0,2024-11-22,2024-12-06,2024-12-06,363.26,363.26,Paid,213.06,150.21,INV-000006-013
89,6,20241222,20250105,,2024-12-22,2025-01-05,,363.26,0.0,Pending,213.06,150.21,INV-000006-014
90,7,20240219,20240304,20240311.0,2024-02-19,2024-03-04,2024-03-11,540.14,353.86,Partial,372.25,167.89,INV-000007-001
91,7,20240320,20240403,20240331.0,2024-03-20,2024-04-03,2024-03-31,540.14,540.14,Paid,372.25,167.89,INV-000007-002
92,7,20240419,20240503,20240503.0,2024-04-19,2024-05-03,2024-05-03,540.14,540.14,Paid,372.25,167.89,INV-000007-003
93,7,20240519,20240602,20240608.0,2024-05-19,2024-06-02,2024-06-08,540.14,540.14,Paid,372.25,167.89,INV-000007-004
94,7,20240618,20240702,20240704.0,2024-06-18,2024-07-02,2024-07-04,540.14,540.14,Paid,372.25,167.89,INV-000007-005
95,7,20240718,20240801,20240808.0,2024-07-18,2024-08-01,2024-08-08,540.14,540.14,Paid,372.25,167.89,INV-000007-006
96,7,20240817,20240831,20240903.0,2024-08-17,2024-08-31,2024-09-03,540.14,540.14,Paid,372.25,167.89,INV-000007-007
97,7,20240916,20240930,20240930.0,2024-09-16,2024-09-30,2024-09-30,540.14,540.14,Paid,372.25,167.89,INV-000007-008
98,7,20241016,20241030,20241030.0,2024-10-16,2024-10-30,2024-10-30,540.14,540.14,Paid,372.25,167.89,INV-000007-009
99,7,20241115,20241129,20241201.0,2024-11-15,2024-11-29,2024-12-01,540.14,540.14,Paid,372.25,167.89,INV-000007-010
100,7,20241215,20241229,20250101.0,2024-12-15,2024-12-29,2025-01-01,540.14,540.14,Paid,372.25,167.89,INV-000007-011
101,8,20241002,20241016,20241023.0,2024-10-02,2024-10-16,2024-10-23,304.57,304.57,Paid,162.87,141.7,INV-000008-001
102,8,20241101,20241115,20241121.0,2024-11-01,2024-11-15,2024-11-21,304.57,304.57,Paid,162.87,141.7,INV-000008-002
103,8,20241201,20241215,20241218.0,2024-12-01,2024-12-15,2024-12-18,304.57,304.57,Paid,162.87,141.7,INV-000008-003
104,8,20241231,20250114,,2024-12-31,2025-01-14,,304.57,0.0,Pending,162.87,141.7,INV-000008-004
105,9,20231207,20231221,20231223.0,2023-12-07,2023-12-21,2023-12-23,579.17,579.17,Paid,328.7,250.47,INV-000009-001
106,9,20240106,20240120,20240122.0,2024-01-06,2024-01-20,2024-01-22,579.17,579.17,Paid,328.7,250.47,INV-000009-002
107,9,20240205,20240219,20240224.0,2024-02-05,2024-02-19,2024-02-24,579.17,579.17,Paid,328.7,250.47,INV-000009-003
108,9,20240306,20240320,20240322.0,2024-03-06,2024-03-20,2024-03-22,579.17,210.75,Partial,328.7,250.47,INV-000009-004
109,9,20240405,20240419,20240425.0,2024-04-05,2024-04-19,2024-04-25,579.17,579.17,Paid,328.7,250.47,INV-000009-005
110,9,20240505,20240519,20240516.0,2024-05-05,2024-05-19,2024-05-16,579.17,579.17,Paid,328.7,250.47,INV-000009-006
111,9,20240604,20240618,20240618.0,2024-06-04,2024-06-18,2024-06-18,579.17,579.17,Paid,328.7,250.47,INV-000009-007
112,9,20240704,20240718,20240718.0,2024-07-04,2024-07-18,2024-07-18,579.17,579.17,Paid,328.7,250.47,INV-000009-008
113,9,20240803,20240817,20240817.0,2024-08-03,2024-08-17,2024-08-17,579.17,579.17,Paid,328.7,250.47,INV-000009-009
114,9,20240902,20240916,20240923.0,2024-09-02,2024-09-16,2024-09-23,579.17,579.17,Paid,328.7,250.47,INV-000009-010
115,9,20241002,20241016,20241021.0,2024-10-02,2024-10-16,2024-10-21,579.17,579.17,Paid,328.7,250.47,INV-000009-011
116,9,20241101,20241115,20241119.0,2024-11-01,2024-11-15,2024-11-19,579.17,579.17,Paid,328.7,250.47,INV-000009-012
117,9,20241201,20241215,20241222.0,2024-12-01,2024-12-15,2024-12-22,579.17,579.17,Paid,328.7,250.47,INV-000009-013
118,9,20241231,20250114,,2024-12-31,2025-01-14,,579.17,0.0,Pending,328.7,250.47,INV-000009-014
119,11,20240317,20240331,20240407.0,2024-03-17,2024-03-31,2024-04-07,146.84,146.84,Paid,87.25,59.59,INV-000011-001
120,11,20240416,20240430,20240502.0,2024-04-16,2024-04-30,2024-05-02,146.84,146.84,Paid,87.25,59.59,INV-000011-002
121,11,20240516,20240530,20240531.0,2024-05-16,2024-05-30,2024-05-31,146.84,146.84,Paid,87.25,59.59,INV-000011-003
122,11,20240615,20240629,20240630.0,2024-06-15,2024-06-29,2024-06-30,146.84,146.84,Paid,87.25,59.59,INV-000011-004
123,11,20240715,20240729,20240802.0,2024-07-15,2024-07-29,2024-08-02,146.84,146.84,Paid,87.25,59.59,INV-000011-005
124,11,20240814,20240828,20240829.0,2024-08-14,2024-08-28,2024-08-29,146.84,146.84,Paid,87.25,59.59,INV-000011-006
125,11,20240913,20240927,20241003.0,2024-09-13,2024-09-27,2024-10-03,146.84,146.84,Paid,87.25,59.59,INV-000011-007
126,11,20241013,20241027,20241028.0,2024-10-13,2024-10-27,2024-10-28,146.84,146.84,Paid,87.25,59.59,INV-000011-008
127,11,20241112,20241126,20241130.0,2024-11-12,2024-11-26,2024-11-30,146.84,146.84,Paid,87.25,59.59,INV-000011-009
128,11,20241212,20241226,20241225.0,2024-12-12,2024-12-26,2024-12-25,146.84,146.84,Paid,87.25,59.59,INV-000011-010
129,12,20240603,20240617,20240616.0,2024-06-03,2024-06-17,2024-06-16,587.95,587.95,Paid,427.97,159.98,INV-000012-001
130,12,20240703,20240717,20240719.0,2024-07-03,2024-07-17,2024-07-19,587.95,587.95,Paid,427.97,159.98,INV-000012-002
131,12,20240802,20240816,20240820.0,2024-08-02,2024-08-16,2024-08-20,587.95,587.95,Paid,427.97,159.98,INV-000012-003
132,12,20240901,20240915,20240920.0,2024-09-01,2024-09-15,2024-09-20,587.95,587.95,Paid,427.97,159.98,INV-000012-004
133,12,20241001,20241015,20241016.0,2024-10-01,2024-10-15,2024-10-16,587.95,587.95,Paid,427.97,159.98,INV-000012-005
134,12,20241031,20241114,20241120.0,2024-10-31,2024-11-14,2024-11-20,587.95,587.95,Paid,427.97,159.98,INV-000012-006
135,12,20241130,20241214,20241215.0,2024-11-30,2024-12-14,2024-12-15,587.95,231.83,Partial,427.97,159.98,INV-000012-007
136,12,20241230,20250113,,2024-12-30,2025-01-13,,587.95,0.0,Pending,427.97,159.98,INV-000012-008
137,13,20230107,20230121,20230123.0,2023-01-07,2023-01-21,2023-01-23,389.47,389.47,Paid,280.8,108.67,INV-000013-001
138,13,20230206,20230220,20230217.0,2023-02-06,2023-02-20,2023-02-17,389.47,389.47,Paid,280.8,108.67,INV-000013-002
139,13,20230308,20230322,20230328.0,2023-03-08,2023-03-22,2023-03-28,389.47,389.47,Paid,280.8,108.67,INV-000013-003
140,13,20230407,20230421,20230421.0,2023-04-07,2023-04-21,2023-04-21,389.47,389.47,Paid,280.8,108.67,INV-000013-004
141,13,20230507,20230521,20230522.0,2023-05-07,2023-05-21,2023-05-22,389.47,389.47,Paid,280.8,108.67,INV-000013-005
142,13,20230606,20230620,20230619.0,2023-06-06,2023-06-20,2023-06-19,389.47,389.47,Paid,280.8,108.67,INV-000013-006
143,13,20230706,20230720,20230727.0,2023-07-06,2023-07-20,2023-07-27,389.47,389.47,Paid,280.8,108.67,INV-000013-007
144,13,20230805,20230819,20230823.0,2023-08-05,2023-08-19,2023-08-23,389.47,389.47,Paid,280.8,108.67,INV-000013-008
145,13,20230904,20230918,20230921.0,2023-09-04,2023-09-18,2023-09-21,389.47,389.47,Paid,280.8,108.67,INV-000013-009
146,13,20231004,20231018,20231020.0,2023-10-04,2023-10-18,2023-10-20,389.47,309.68,Partial,280.8,108.67,INV-000013-010
147,13,20231103,20231117,20231123.0,2023-11-03,2023-11-17,2023-11-23,389.47,389.47,Paid,280.8,108.67,INV-000013-011
148,13,20231203,20231217,20231223.0,2023-12-03,2023-12-17,2023-12-23,389.47,389.47,Paid,280.8,108.67,INV-000013-012
149,13,20240102,20240116,20240117.0,2024-01-02,2024-01-16,2024-01-17,389.47,389.47,Paid,280.8,108.67,INV-000013-013
150,13,20240201,20240215,20240221.0,2024-02-01,2024-02-15,2024-02-21,389.47,389.47,Paid,280.8,108.67,INV-000013-014
151,13,20240302,20240316,20240316.0,2024-03-02,2024-03-16,2024-03-16,389.47,389.47,Paid,280.8,108.67,INV-000013-015
152,13,20240401,20240415,20240419.0,2024-04-01,2024-04-15,2024-04-19,389.47,389.47,Paid,280.8,108.67,INV-000013-016
153,13,20240501,20240515,20240518.0,2024-05-01,2024-05-15,2024-05-18,389.47,389.47,Paid,280.8,108.67,INV-000013-017
154,13,20240531,20240614,20240615.0,2024-05-31,2024-06-14,2024-06-15,389.47,389.47,Paid,280.8,108.67,INV-000013-018
155,13,20240630,20240714,20240716.0,2024-06-30,2024-07-14,2024-07-16,389.47,389.47,Paid,280.8,108.67,INV-000013-019
156,13,20240730,20240813,20240817.0,2024-07-30,2024-08-13,2024-08-17,389.47,389.47,Paid,280.8,108.67,INV-000013-020
157,13,20240829,20240912,20240911.0,2024-08-29,2024-09-12,2024-09-11,389.47,389.47,Paid,280.8,108.67,INV-000013-021
158,13,20240928,20241012,20241010.0,2024-09-28,2024-10-12,2024-10-10,389.47,389.47,Paid,280.8,108.67,INV-000013-022
159,13,20241028,20241111,20241118.0,2024-10-28,2024-11-11,2024-11-18,389.47,389.47,Paid,280.8,108.67,INV-000013-023
160,13,20241127,20241211,20241210.0,2024-11-27,2024-12-11,2024-12-10,389.47,389.47,Paid,280.8,108.67,INV-000013-024
161,14,20220322,20220405,20220405.0,2022-03-22,2022-04-05,2022-04-05,185.42,185.42,Paid,108.75,76.67,INV-000014-001
162,14,20220421,20220505,20220512.0,2022-04-21,2022-05-05,2022-05-12,185.42,185.42,Paid,108.75,76.67,INV-000014-002
163,14,20220521,20220604,20220604.0,2022-05-21,2022-06-04,2022-06-04,185.42,185.42,Paid,108.75,76.67,INV-000014-003
164,14,20220620,20220704,20220711.0,2022-06-20,2022-07-04,2022-07-11,185.42,185.42,Paid,108.75,76.67,INV-000014-004
165,14,20220720,20220803,20220801.0,2022-07-20,2022-08-03,2022-08-01,185.42,185.42,Paid,108.75,76.67,INV-000014-005
166,14,20220819,20220902,20220903.0,2022-08-19,2022-09-02,2022-09-03,185.42,185.42,Paid,108.75,76.67,INV-000014-006
167,14,20220918,20221002,20221003.0,2022-09-18,2022-10-02,2022-10-03,185.42,185.42,Paid,108.75,76.67,INV-000014-007
168,14,20221018,20221101,20221104.0,2022-10-18,2022-11-01,2022-11-04,185.42,185.42,Paid,108.75,76.67,INV-000014-008
169,14,20221117,20221201,20221129.0,2022-11-17,2022-12-01,2022-11-29,185.42,185.42,Paid,108.75,76.67,INV-000014-009
170,14,20221217,20221231,20230105.0,2022-12-17,2022-12-31,2023-01-05,185.42,69.28,Partial,108.75,76.67,INV-000014-010
171,14,20230116,20230130,20230131.0,2023-01-16,2023-01-30,2023-01-31,185.42,185.42,Paid,108.75,76.67,INV-000014-011
172,14,20230215,20230301,20230306.0,2023-02-15,2023-03-01,2023-03-06,185.42,185.42,Paid,108.75,76.67,INV-000014-012
173,14,20230317,20230331,20230404.0,2023-03-17,2023-03-31,2023-04-04,185.42,185.42,Paid,108.75,76.67,INV-000014-013
174,14,20230416,20230430,20230507.0,2023-04-16,2023-04-30,2023-05-07,185.42,185.42,Paid,108.75,76.67,INV-000014-014
175,14,20230516,20230530,20230604.0,2023-05-16,2023-05-30,2023-06-04,185.42,185.42,Paid,108.75,76.67,INV-000014-015
176,14,20230615,20230629,20230703.0,2023-06-15,2023-06-29,2023-07-03,185.42,185.42,Paid,108.75,76.67,INV-000014-016
177,14,20230715,20230729,20230802.0,2023-07-15,2023-07-29,2023-08-02,185.42,185.42,Paid,108.75,76.67,INV-000014-017
178,14,20230814,20230828,20230828.0,2023-08-14,2023-08-28,2023-08-28,185.42,185.42,Paid,108.75,76.67,INV-000014-018
179,14,20230913,20230927,20230928.0,2023-09-13,2023-09-27,2023-09-28,185.42,185.42,Paid,108.75,76.67,INV-000014-019
180,14,20231013,20231027,20231103.0,2023-10-13,2023-10-27,2023-11-03,185.42,185.42,Paid,108.75,76.67,INV-000014-020
181,14,20231112,20231126,20231125.0,2023-11-12,2023-11-26,2023-11-25,185.42,185.42,Paid,108.75,76.67,INV-000014-021
182,14,20231212,20231226,20231226.0,2023-12-12,2023-12-26,2023-12-26,185.42,185.42,Paid,108.75,76.67,INV-000014-022
183,14,20240111,20240125,20240131.0,2024-01-11,2024-01-25,2024-01-31,185.42,185.42,Paid,108.75,76.67,INV-000014-023
184,14,20240210,20240224,20240226.0,2024-02-10,2024-02-24,2024-02-26,185.42,185.42,Paid,108.75,76.67,INV-000014-024
185,15,20231012,20231026,20231110.0,2023-10-12,2023-10-26,2023-11-10,261.75,261.75,Late,141.22,120.53,INV-000015-001
186,15,20231111,20231125,20231123.0,2023-11-11,2023-11-25,2023-11-23,261.75,261.75,Paid,141.22,120.53,INV-000015-002
187,15,20231211,20231225,20240101.0,2023-12-11,2023-12-25,2024-01-01,261.75,261.75,Paid,141.22,120.53,INV-000015-003
188,15,20240110,20240124,20240129.0,2024-01-10,2024-01-24,2024-01-29,261.75,261.75,Paid,141.22,120.53,INV-000015-004
189,15,20240209,20240223,20240301.0,2024-02-09,2024-02-23,2024-03-01,261.75,261.75,Paid,141.22,120.53,INV-000015-005
190,15,20240310,20240324,20240326.0,2024-03-10,2024-03-24,2024-03-26,261.75,261.75,Paid,141.22,120.53,INV-000015-006
191,15,20240409,20240423,20240425.0,2024-04-09,2024-04-23,2024-04-25,261.75,261.75,Paid,141.22,120.53,INV-000015-007
192,15,20240509,20240523,20240521.0,2024-05-09,2024-05-23,2024-05-21,261.75,261.75,Paid,141.22,120.53,INV-000015-008
193,15,20240608,20240622,20240619.0,2024-06-08,2024-06-22,2024-06-19,261.75,261.75,Paid,141.22,120.53,INV-000015-009
194,15,20240708,20240722,20240720.0,2024-07-08,2024-07-22,2024-07-20,261.75,261.75,Paid,141.22,120.53,INV-000015-010
195,15,20240807,20240821,20240828.0,2024-08-07,2024-08-21,2024-08-28,261.75,261.75,Paid,141.22,120.53,INV-000015-011
196,15,20240906,20240920,20240917.0,2024-09-06,2024-09-20,2024-09-17,261.75,261.75,Paid,141.22,120.53,INV-000015-012
197,15,20241006,20241020,20241020.0,2024-10-06,2024-10-20,2024-10-20,261.75,261.75,Paid,141.22,120.53,INV-000015-013
198,15,20241105,20241119,20241119.0,2024-11-05,2024-11-19,2024-11-19,261.75,261.75,Paid,141.22,120.53,INV-000015-014
199,15,20241205,20241219,20241223.0,2024-12-05,2024-12-19,2024-12-23,261.75,261.75,Paid,141.22,120.53,INV-000015-015
200,16,20220909,20220923,20220924.0,2022-09-09,2022-09-23,2022-09-24,302.67,302.67,Paid,187.18,115.49,INV-000016-001
201,16,20221009,20221023,20221028.0,2022-10-09,2022-10-23,2022-10-28,302.67,302.67,Paid,187.18,115.49,INV-000016-002
202,16,20221108,20221122,20221121.0,2022-11-08,2022-11-22,2022-11-21,302.67,302.67,Paid,187.18,115.49,INV-000016-003
203,16,20221208,20221222,20221224.0,2022-12-08,2022-12-22,2022-12-24,302.67,302.67,Paid,187.18,115.49,INV-000016-004
204,16,20230107,20230121,20230118.0,2023-01-07,2023-01-21,2023-01-18,302.67,302.67,Paid,187.18,115.49,INV-000016-005
205,16,20230206,20230220,20230217.0,2023-02-06,2023-02-20,2023-02-17,302.67,101.48,Partial,187.18,115.49,INV-000016-006
206,16,20230308,20230322,20230327.0,2023-03-08,2023-03-22,2023-03-27,302.67,302.67,Paid,187.18,115.49,INV-000016-007
207,16,20230407,20230421,20230506.0,2023-04-07,2023-04-21,2023-05-06,302.67,302.67,Late,187.18,115.49,INV-000016-008
