    contract_key,contract_id,installer_key,customer_key,status,financing_option,country,region,term_months,interest_rate,principal_amount,origination_date
21,CON-000021,9,1130,Cancelled,Standard Loan,Germany,Berlin,180,5.11,31191.1,13-03-2023
22,CON-000022,23,1669,Active,Standard Loan,Germany,North Rhine-Westphalia,120,4.37,22879.16,21-06-2023
23,CON-000023,24,777,Active,Lease,Germany,Bavaria,180,5.34,10491.26,18-11-2023
24,CON-000024,50,1887,Active,Standard Loan,Austria,Styria,180,8.11,29060.59,20-12-2023
25,CON-000025,18,502,Active,Lease,Germany,Bavaria,180,8.36,33667.67,14-08-2023
26,CON-000026,45,96,Active,Lease,Germany,North Rhine-Westphalia,180,3.84,8653.01,20-11-2024
27,CON-000027,39,1837,Active,Lease,Germany,Berlin,240,4.66,30804.9,12-06-2024
28,CON-000028,40,76,Active,Lease,Germany,Bavaria,84,5.99,15474.44,04-01-2023
29,CON-000029,12,1687,Active,PPA,Germany,Berlin,180,5.14,18290.68,15-08-2024
30,CON-000030,29,130,Active,Standard Loan,Germany,Hesse,180,7.25,16473.37,21-09-2024
31,CON-000031,11,1666,Defaulted,Lease,Germany,Baden-Württemberg,240,7.51,33762.29,25-11-2024
32,CON-000032,10,1397,Active,Standard Loan,Germany,Lower Saxony,180,3.85,15121.22,10-10-2022
33,CON-000033,11,1433,Active,Standard Loan,Germany,Baden-Württemberg,120,7.48,15561.81,12-09-2024
34,CON-000034,24,761,Active,Standard Loan,Germany,Bavaria,84,4.38,17211.87,27-08-2023
35,CON-000035,35,1246,Active,Lease,Germany,Lower Saxony,60,8.36,22735.05,22-09-2024
36,CON-000036,38,453,In Arrears,Lease,Netherlands,North Holland,120,7.31,23813.7,07-11-2024
37,CON-000037,9,1647,Active,Standard Loan,Germany,Berlin,120,5.03,18479.35,13-08-2023
38,CON-000038,37,750,Active,Standard Loan,Netherlands,North Holland,60,7.81,35023.64,23-12-2023
39,CON-000039,22,1537,Active,Standard Loan,Germany,Bavaria,120,5.95,31718.8,16-05-2024
40,CON-000040,47,1227,Completed,Standard Loan,Germany,Baden-Württemberg,84,7.31,43412.58,24-08-2024
41,CON-000041,37,1769,Active,Standard Loan,Netherlands,North Holland,180,6.75,42281.19,23-06-2024
42,CON-000042,3,854,Active,Standard Loan,Germany,North Rhine-Westphalia,180,6.73,17669.24,11-04-2022
43,CON-000043,33,1680,Active,Lease,Germany,Lower Saxony,60,7.35,31842.7,23-07-2023
44,CON-000044,46,734,Active,Lease,Netherlands,North Holland,180,4.33,23794.24,27-05-2023
45,CON-000045,45,979,Active,PPA,Germany,North Rhine-Westphalia,120,7.88,34923.13,23-07-2024
46,CON-000046,18,1212,In Arrears,Standard Loan,Germany,Bavaria,84,7.24,33863.33,17-08-2024
47,CON-000047,26,1452,Active,Standard Loan,Germany,Berlin,120,5.58,18668.59,21-10-2024
48,CON-000048,8,84,Active,Standard Loan,Germany,Berlin,240,5.75,38131.71,31-12-2023
49,CON-000049,10,854,Active,Lease,Germany,Lower Saxony,240,7.86,24307.03,27-04-2023
50,CON-000050,5,1624,Active,Lease,Austria,Vienna,120,5.21,29668.92,28-11-2022
51,CON-000051,6,990,Active,PPA,Netherlands,South Holland,180,7.45,9548.8,03-03-2023
52,CON-000052,21,1981,Active,Standard Loan,Germany,Lower Saxony,240,5.87,20470.11,24-06-2024
53,CON-000053,45,1796,In Arrears,PPA,Germany,North Rhine-Westphalia,84,5.31,22743.44,16-10-2024
54,CON-000054,42,1883,Active,Lease,Germany,North Rhine-Westphalia,180,7.13,40854.91,17-09-2024
55,CON-000055,44,1978,Active,PPA,Germany,Hesse,180,4.74,24720.97,29-05-2024
56,CON-000056,28,1094,Cancelled,Standard Loan,Germany,Lower Saxony,240,8.29,38066.9,29-05-2022
57,CON-000057,4,53,Completed,Standard Loan,Germany,Hesse,180,4.67,25927.84,16-08-2023
58,CON-000058,47,1696,Active,Standard Loan,Germany,Baden-Württemberg,240,7.79,41492.5,24-05-2024
59,CON-000059,8,1453,Active,Standard Loan,Germany,Berlin,180,7.08,9174.59,11-03-2024
60,CON-000060,43,1711,Active,Standard Loan,Netherlands,North Brabant,120,7.98,43336.9,23-08-2024
61,CON-000061,9,1465,Cancelled,Subscription,Germany,Berlin,60,5.67,34483.31,08-11-2024
62,CON-000062,40,863,Active,Subscription,Germany,Bavaria,180,8.26,32812.25,25-07-2023
63,CON-000063,35,1006,Active,Standard Loan,Germany,Lower Saxony,180,8.16,36354.48,23-04-2024
64,CON-000064,37,306,Active,Standard Loan,Netherlands,North Holland,180,7.43,43751.18,06-07-2024
65,CON-000065,14,363,Active,Standard Loan,Germany,Baden-Württemberg,60,7.2,42676.79,27-06-2022
66,CON-000066,21,1197,Active,PPA,Germany,Lower Saxony,120,3.51,10289.74,21-08-2024
67,CON-000067,49,1442,Active,Standard Loan,Germany,Hesse,180,8.17,12673.37,25-05-2023
68,CON-000068,1,1751,Active,Standard Loan,Germany,Bavaria,84,8.21,38977.02,24-04-2023
69,CON-000069,33,370,Active,Subscription,Germany,Lower Saxony,120,5.04,44642.4,15-03-2023
70,CON-000070,37,767,Active,PPA,Netherlands,North Holland,120,7.02,21938.22,18-01-2024
71,CON-000071,12,1502,Active,Standard Loan,Germany,Berlin,180,3.76,40020.98,04-01-2024
72,CON-000072,50,932,Active,Standard Loan,Austria,Styria,84,3.61,22514.57,03-11-2024
73,CON-000073,19,1648,Completed,Standard Loan,Germany,Hesse,120,4.92,33765.92,27-08-2022
74,CON-000074,8,1946,Active,Lease,Germany,Berlin,180,3.77,42579.29,20-03-2024
75,CON-000075,24,821,Active,Standard Loan,Germany,Bavaria,84,7.52,15239.24,04-07-2023
76,CON-000076,43,1672,Active,PPA,Netherlands,North Brabant,240,4.24,43164.73,24-05-2024
77,CON-000077,47,842,Active,Subscription,Germany,Baden-Württemberg,84,3.76,44270.24,22-05-2024
78,CON-000078,35,1344,Active,Lease,Germany,Lower Saxony,84,5.48,19199.52,22-06-2023
79,CON-000079,41,1156,Active,Standard Loan,Germany,Lower Saxony,180,7.39,40001.14,14-09-2024
80,CON-000080,36,1808,Cancelled,Standard Loan,Austria,Styria,84,4.11,31732.15,29-01-2024
81,CON-000081,32,594,Active,Lease,Germany,Lower Saxony,120,7.23,37390.72,24-07-2023
82,CON-000082,23,1191,Active,Lease,Germany,North Rhine-Westphalia,120,7.07,39901.79,14-06-2023
83,CON-000083,21,1065,Active,PPA,Germany,Lower Saxony,120,6.09,29634.7,06-11-2024
84,CON-000084,7,1594,Active,Lease,Germany,Bavaria,180,4.4,30166.8,05-09-2024
85,CON-000085,42,703,Active,PPA,Germany,North Rhine-Westphalia,120,6.76,11249.37,19-08-2022
86,CON-000086,6,1708,Active,Standard Loan,Netherlands,South Holland,120,6.22,23652.9,26-12-2023
87,CON-000087,48,1558,Cancelled,Subscription,Germany,Lower Saxony,120,6.17,13174.64,08-10-2024
88,CON-000088,33,1666,Completed,Standard Loan,Germany,Lower Saxony,180,3.72,9359.16,20-05-2023
89,CON-000089,8,975,Active,Standard Loan,Germany,Berlin,120,4.14,31025.57,31-03-2024
90,CON-000090,21,179,Active,Standard Loan,Germany,Lower Saxony,120,8.22,33031.45,31-08-2024
91,CON-000091,35,1659,Active,PPA,Germany,Lower Saxony,180,6.32,31967.53,02-12-2023
92,CON-000092,17,145,Defaulted,Lease,Germany,North Rhine-Westphalia,60,6.52,10868.41,30-03-2023
93,CON-000093,21,1009,Active,Standard Loan,Germany,Lower Saxony,120,5.17,18110.36,25-03-2024
94,CON-000094,21,1436,Defaulted,Lease,Germany,Lower Saxony,240,7.41,12569.63,20-08-2024
95,CON-000095,42,1154,Defaulted,Standard Loan,Germany,North Rhine-Westphalia,180,7.83,28407.06,02-04-2023
96,CON-000096,48,29,Defaulted,Standard Loan,Germany,Lower Saxony,180,6.89,37183.65,18-07-2023
97,CON-000097,33,1221,Active,Subscription,Germany,Lower Saxony,180,6.79,13278.8,17-07-2024
98,CON-000098,35,904,Active,Standard Loan,Germany,Lower Saxony,180,5.59,24938.1,29-01-2024
99,CON-000099,15,1729,Completed,Subscription,Germany,Berlin,240,7.91,38118.86,11-06-2024
100,CON-000100,21,1106,Active,Lease,Germany,Lower Saxony,180,3.88,16881.36,26-03-2024
101,CON-000101,6,1256,Active,Subscription,Netherlands,South Holland,180,3.55,43090.68,12-07-2024
102,CON-000102,8,592,Active,Lease,Germany,Berlin,240,7.94,33821.63,05-07-2024
103,CON-000103,46,186,Active,Subscription,Netherlands,North Holland,120,6.17,20767.24,15-11-2024
104,CON-000104,50,1520,Active,PPA,Austria,Styria,180,6.54,43691.95,19-05-2024
105,CON-000105,29,44,In Arrears,Standard Loan,Germany,Hesse,120,4.17,21071.79,12-02-2023
106,CON-000106,9,434,Completed,Standard Loan,Germany,Berlin,240,4.75,27947.43,04-11-2023
107,CON-000107,16,1280,Cancelled,Subscription,Germany,Berlin,60,6.66,22563.99,18-01-2023
108,CON-000108,28,252,In Arrears,Standard Loan,Germany,Lower Saxony,180,7.74,10127.38,12-09-2023
109,CON-000109,16,43,Active,Standard Loan,Germany,Berlin,180,4.43,21117.7,07-06-2023
110,CON-000110,6,353,Completed,Standard Loan,Netherlands,South Holland,120,8.07,8255.69,31-07-2023
111,CON-000111,25,1925,Completed,Standard Loan,Germany,Hesse,120,4.41,38027.12,01-03-2023
112,CON-000112,19,1041,Active,Standard Loan,Germany,Hesse,180,7.05,12094.63,17-06-2023
113,CON-000113,18,685,Active,Standard Loan,Germany,Bavaria,84,5.9,32613.99,25-05-2024
114,CON-000114,30,265,Active,Lease,Austria,Vienna,84,7.26,36872.49,04-03-2024
115,CON-000115,39,1208,Active,PPA,Germany,Berlin,84,4.04,8782.63,03-11-2022
116,CON-000116,12,1881,Active,Standard Loan,Germany,Berlin,120,6.49,8297.07,03-05-2024
117,CON-000117,23,143,Active,Lease,Germany,North Rhine-Westphalia,84,4.91,12255.74,09-08-2024
118,CON-000118,36,1975,Active,Subscription,Austria,Styria,180,7.55,33942.36,28-07-2024
119,CON-000119,33,413,Active,Standard Loan,Germany,Lower Saxony,84,5.51,18132.88,30-09-2023
120,CON-000120,11,861,Active,Standard Loan,Germany,Baden-Württemberg,120,5.03,31432.47,08-02-2024
121,CON-000121,25,1353,Active,Standard Loan,Germany,Hesse,60,4.05,21452.32,12-12-2023
122,CON-000122,45,418,Active,Subscription,Germany,North Rhine-Westphalia,60,7.22,15843.17,03-07-2022
123,CON-000123,6,273,In Arrears,PPA,Netherlands,South Holland,120,5.02,11584.83,11-07-2024
124,CON-000124,8,1616,Active,Lease,Germany,Berlin,120,7.39,27567.9,10-11-2024
125,CON-000125,12,6,Cancelled,Lease,Germany,Berlin,84,7.21,12453.11,04-09-2023
126,CON-000126,10,1289,In Arrears,Standard Loan,Germany,Lower Saxony,60,6.23,20687.22,14-11-2022
127,CON-000127,37,775,Completed,Lease,Netherlands,North Holland,120,7.06,40988.71,25-12-2023
128,CON-000128,18,730,Active,Subscription,Germany,Bavaria,180,8.05,10505.21,17-04-2024
129,CON-000129,27,1992,Active,Subscription,Austria,Upper Austria,120,8.34,18717.29,21-02-2024
130,CON-000130,10,1027,Completed,Standard Loan,Germany,Lower Saxony,180,7.85,43946.92,24-12-2023
131,CON-000131,41,1716,Active,Subscription,Germany,Lower Saxony,84,3.52,29160.23,03-08-2023
132,CON-000132,28,753,Active,Standard Loan,Germany,Lower Saxony,120,5.02,16152.44,01-06-2024
133,CON-000133,12,1458,Active,Subscription,Germany,Berlin,240,4.89,12919.94,17-10-2023
134,CON-000134,50,593,Active,Standard Loan,Austria,Styria,60,5.24,30390.9,15-10-2022
135,CON-000135,37,1427,In Arrears,PPA,Netherlands,North Holland,120,6.56,20011.5,26-10-2023
136,CON-000136,42,1751,In Arrears,PPA,Germany,North Rhine-Westphalia,84,8.36,27883.38,21-01-2023
137,CON-000137,41,1031,Active,Standard Loan,Germany,Lower Saxony,180,8.23,17521.77,30-11-2024
138,CON-000138,24,437,Active,Standard Loan,Germany,Bavaria,120,7.54,35857.21,02-09-2023
139,CON-000139,38,78,Active,Standard Loan,Netherlands,North Holland,60,4.41,14846.04,21-12-2023
140,CON-000140,38,297,Active,Standard Loan,Netherlands,North Holland,120,7.93,38247.47,08-09-2022
141,CON-000141,8,1662,Active,PPA,Germany,Berlin,240,8.35,11708.65,12-11-2023
142,CON-000142,33,530,Cancelled,Standard Loan,Germany,Lower Saxony,84,3.57,38729.13,01-03-2023
143,CON-000143,41,422,Active,PPA,Germany,Lower Saxony,120,7.46,8347.66,01-08-2024
144,CON-000144,43,421,Active,Standard Loan,Netherlands,North Brabant,120,6.31,24440.07,01-08-2022
145,CON-000145,4,150,Active,PPA,Germany,Hesse,120,3.61,9647.46,20-06-2024
146,CON-000146,22,151,Active,PPA,Germany,Bavaria,60,5.64,13452.93,02-12-2022
147,CON-000147,21,966,In Arrears,Standard Loan,Germany,Lower Saxony,120,8.45,16307.33,06-04-2024
148,CON-000148,5,1326,Active,Lease,Austria,Vienna,240,8.1,41136.7,28-07-2023
149,CON-000149,33,275,Active,PPA,Germany,Lower Saxony,180,6.94,31116.06,11-07-2023
150,CON-000150,14,1147,Active,Standard Loan,Germany,Baden-Württemberg,240,7.55,34318.35,17-03-2023
151,CON-000151,47,1858,In Arrears,PPA,Germany,Baden-Württemberg,84,4.24,24527.73,24-11-2024
152,CON-000152,7,1847,Active,Standard Loan,Germany,Bavaria,120,3.95,44806.55,14-11-2024
153,CON-000153,18,710,Active,Subscription,Germany,Bavaria,240,6.51,31554.35,22-06-2024
154,CON-000154,47,477,Active,Lease,Germany,Baden-Württemberg,120,6.17,27701.55,07-08-2024
155,CON-000155,22,1186,Completed,Standard Loan,Germany,Bavaria,180,4.6,11228.26,27-03-2024
156,CON-000156,25,263,Completed,Standard Loan,Germany,Hesse,60,5.25,39403.81,13-06-2022
157,CON-000157,8,1246,In Arrears,Lease,Germany,Berlin,84,7.64,10067.03,09-10-2023
158,CON-000158,21,705,In Arrears,PPA,Germany,Lower Saxony,120,7.01,32521.65,13-09-2024
159,CON-000159,3,470,Completed,Standard Loan,Germany,North Rhine-Westphalia,84,3.56,38749.52,24-07-2022
160,CON-000160,8,1327,Active,Standard Loan,Germany,Berlin,120,7.11,24427.02,06-06-2023
161,CON-000161,7,637,In Arrears,Lease,Germany,Bavaria,60,7.26,26621.93,19-08-2024
162,CON-000162,44,1720,Active,Subscription,Germany,Hesse,120,6.36,19323.26,09-10-2024
163,CON-000163,14,1602,Active,Standard Loan,Germany,Baden-Württemberg,240,4.13,15838.98,26-03-2023
164,CON-000164,10,786,Active,Standard Loan,Germany,Lower Saxony,180,3.89,33619.78,28-02-2024
165,CON-000165,21,711,Active,Lease,Germany,Lower Saxony,180,4.47,12010.83,17-08-2024
166,CON-000166,43,713,Active,Subscription,Netherlands,North Brabant,84,4.03,15840.67,25-12-2022
167,CON-000167,10,581,Active,Subscription,Germany,Lower Saxony,84,3.93,29094.54,07-09-2022
168,CON-000168,26,1081,Active,Standard Loan,Germany,Berlin,240,3.54,21196.02,11-02-2023
169,CON-000169,11,201,Active,Lease,Germany,Baden-Württemberg,240,7.01,11603.05,14-01-2024
170,CON-000170,6,1753,Completed,Standard Loan,Netherlands,South Holland,60,7.48,25647.26,27-07-2023
171,CON-000171,9,1160,Completed,Lease,Germany,Berlin,180,3.97,34583.12,11-02-2023
172,CON-000172,41,1266,Active,PPA,Germany,Lower Saxony,120,7.14,32101.61,25-03-2024
173,CON-000173,18,473,Active,Subscription,Germany,Bavaria,60,7.06,33266.32,27-09-2023
174,CON-000174,33,1969,Defaulted,Lease,Germany,Lower Saxony,180,5.99,37774.88,10-09-2024
175,CON-000175,49,766,Active,Lease,Germany,Hesse,120,5.77,14279.55,14-08-2022
176,CON-000176,19,1357,Active,Standard Loan,Germany,Hesse,180,4.79,25510.66,11-06-2024
177,CON-000177,7,491,Active,Lease,Germany,Bavaria,120,4.93,23134.23,11-12-2022
178,CON-000178,24,1431,Active,Standard Loan,Germany,Bavaria,240,5.37,33241.43,06-11-2024
179,CON-000179,44,868,Active,Standard Loan,Germany,Hesse,240,3.79,37251.85,09-03-2024
180,CON-000180,6,1134,Active,Standard Loan,Netherlands,South Holland,120,3.86,22364.25,29-09-2024
181,CON-000181,24,1954,In Arrears,Standard Loan,Germany,Bavaria,84,4.4,12008.89,27-05-2024
182,CON-000182,23,704,Active,Standard Loan,Germany,North Rhine-Westphalia,120,8.48,25992.92,10-05-2023
183,CON-000183,3,859,Completed,Standard Loan,Germany,North Rhine-Westphalia,84,4.57,29023.64,02-10-2024
184,CON-000184,42,1575,Completed,Standard Loan,Germany,North Rhine-Westphalia,84,4.56,8848.88,07-08-2023
185,CON-000185,13,1090,Active,PPA,Germany,North Rhine-Westphalia,60,5.53,19038.46,23-07-2023
186,CON-000186,29,1311,Active,Subscription,Germany,Hesse,84,3.77,41113.39,20-08-2023
187,CON-000187,16,394,In Arrears,Standard Loan,Germany,Berlin,120,6.18,37002.72,17-08-2023
188,CON-000188,46,1180,Active,Lease,Netherlands,North Holland,120,7.97,15346.72,25-11-2022
189,CON-000189,9,554,Active,Standard Loan,Germany,Berlin,60,7.98,42551.32,13-10-2023
190,CON-000190,42,1096,Active,Standard Loan,Germany,North Rhine-Westphalia,120,3.52,24670.68,04-01-2023
191,CON-000191,49,469,Active,Standard Loan,Germany,Hesse,180,4.44,33768.51,26-12-2022
192,CON-000192,12,1347,Completed,Standard Loan,Germany,Berlin,120,5.32,19171.95,02-06-2023
193,CON-000193,27,556,Active,Standard Loan,Austria,Upper Austria,120,5.26,28071.28,15-08-2023
194,CON-000194,23,1260,Active,Lease,Germany,North Rhine-Westphalia,84,5.68,18546.03,03-11-2024
195,CON-000195,37,782,Active,Standard Loan,Netherlands,North Holland,240,7.53,11841.05,21-09-2023
196,CON-000196,26,116,In Arrears,Standard Loan,Germany,Berlin,60,5.72,29505.64,18-05-2024
197,CON-000197,22,1695,Completed,Standard Loan,Germany,Bavaria,120,4.07,39684.68,26-07-2023
198,CON-000198,46,1498,Defaulted,Standard Loan,Netherlands,North Holland,60,5.37,16285.65,25-12-2023
199,CON-000199,43,897,Active,Standard Loan,Netherlands,North Brabant,180,3.52,41635.18,10-05-2023
200,CON-000200,42,1059,In Arrears,Subscription,Germany,North Rhine-Westphalia,180,6.5,20398.33,23-09-2023
201,CON-000201,13,1259,Cancelled,Standard Loan,Germany,North Rhine-Westphalia,180,5.47,9908.5,13-09-2023
202,CON-000202,47,706,Active,Lease,Germany,Baden-Württemberg,120,5.09,13862.42,19-07-2023
203,CON-000203,7,1785,Active,Lease,Germany,Bavaria,180,7.72,31210.78,13-06-2024
204,CON-000204,48,356,Active,Subscription,Germany,Lower Saxony,60,3.56,36491.19,02-11-2022
205,CON-000205,31,1954,Active,Standard Loan,Germany,Berlin,84,5.77,31365.57,23-11-2024
206,CON-000206,46,1841,Active,Standard Loan,Netherlands,North Holland,180,7.13,37862.6,16-05-2024
207,CON-000207,6,1531,Active,Standard Loan,Netherlands,South Holland,180,6.4,11826.51,19-03-2023
208,CON-000208,15,1799,Active,PPA,Germany,Berlin,60,7.72,41770.61,31-03-2023
209,CON-000209,22,426,Cancelled,PPA,Germany,Bavaria,60,6.94,21884.41,17-01-2024
210,CON-000210,10,1389,In Arrears,Subscription,Germany,Lower Saxony,180,6.66,39627.93,03-02-2023
211,CON-000211,26,1675,Active,Lease,Germany,Berlin,60,6.11,17416.54,20-05-2024
212,CON-000212,30,1218,Active,Standard Loan,Austria,Vienna,84,7.83,12247.17,21-04-2024
213,CON-000213,12,419,Active,Lease,Germany,Berlin,120,5.91,43269.49,25-09-2023
214,CON-000214,16,834,Active,PPA,Germany,Berlin,120,8.23,42126.88,03-11-2023
215,CON-000215,37,591,In Arrears,Standard Loan,Netherlands,North Holland,120,7.33,19528.65,25-09-2023
216,CON-000216,45,1750,Active,Standard Loan,Germany,North Rhine-Westphalia,120,5.09,11979.69,06-08-2024
217,CON-000217,19,1969,Active,PPA,Germany,Hesse,60,4.34,9249.12,01-10-2024
218,CON-000218,35,8,Active,Standard Loan,Germany,Lower Saxony,120,4.07,37934.5,13-05-2024
219,CON-000219,12,1679,Active,Standard Loan,Germany,Berlin,180,4.11,19787.8,14-10-2023
220,CON-000220,24,801,Active,Standard Loan,Germany,Bavaria,120,5.43,30266.67,02-10-2023
221,CON-000221,34,1772,Active,PPA,Germany,Baden-Württemberg,180,6.37,31911.99,26-07-2024
222,CON-000222,11,410,Active,Standard Loan,Germany,Baden-Württemberg,120,8.45,23585.78,03-06-2024
223,CON-000223,21,703,Active,Standard Loan,Germany,Lower Saxony,60,7.42,29303.07,03-07-2024
224,CON-000224,8,1195,Active,Standard Loan,Germany,Berlin,180,8.09,9447.45,10-09-2022
225,CON-000225,42,796,Completed,Standard Loan,Germany,North Rhine-Westphalia,120,5.23,10951.39,16-01-2023
226,CON-000226,4,879,Completed,Subscription,Germany,Hesse,120,6.71,41687.46,26-12-2023
227,CON-000227,6,118,Active,Standard Loan,Netherlands,South Holland,84,8.47,39871.38,06-03-2023
228,CON-000228,6,1408,Active,Standard Loan,Netherlands,South Holland,180,6.19,8182.83,07-03-2024
229,CON-000229,45,1716,Completed,Standard Loan,Germany,North Rhine-Westphalia,240,3.88,20185.17,21-08-2022
230,CON-000230,9,1328,Active,PPA,Germany,Berlin,84,5.1,13476.05,08-03-2024
231,CON-000231,45,1314,In Arrears,Standard Loan,Germany,North Rhine-Westphalia,84,6.14,29381.73,17-05-2024
232,CON-000232,38,1408,Completed,Standard Loan,Netherlands,North Holland,180,7.06,21061.36,15-05-2023
233,CON-000233,36,1895,In Arrears,Standard Loan,Austria,Styria,60,8.36,10229.88,18-11-2024
234,CON-000234,42,195,Active,Subscription,Germany,North Rhine-Westphalia,120,7.57,36179.29,26-07-2022
235,CON-000235,37,1461,Active,Standard Loan,Netherlands,North Holland,84,4.15,41917.8,09-11-2024
236,CON-000236,35,738,Active,PPA,Germany,Lower Saxony,84,4.89,14075.26,01-07-2024
237,CON-000237,36,509,Active,Standard Loan,Austria,Styria,180,4.7,41081.63,22-01-2024
238,CON-000238,36,1391,Active,Standard Loan,Austria,Styria,84,6.25,21113.79,12-04-2024
239,CON-000239,18,496,Active,Standard Loan,Germany,Bavaria,60,6.74,35084.06,26-07-2023
240,CON-000240,33,1171,Active,Standard Loan,Germany,Lower Saxony,120,4.05,9845.24,27-06-2024
241,CON-000241,45,422,Active,Standard Loan,Germany,North Rhine-Westphalia,60,4.01,16379.21,04-03-2023
242,CON-000242,6,1092,Active,Standard Loan,Netherlands,South Holland,120,4.36,15532.29,25-11-2023
243,CON-000243,1,1588,Active,Lease,Germany,Bavaria,180,7.2,39544.87,22-05-2024
244,CON-000244,9,953,Active,Standard Loan,Germany,Berlin,84,3.56,25560.23,03-03-2024
245,CON-000245,5,85,Active,Standard Loan,Austria,Vienna,120,8.35,29576.88,02-08-2022
246,CON-000246,7,1110,Active,PPA,Germany,Bavaria,180,4.95,16446.64,03-06-2024
247,CON-000247,41,1666,Active,Standard Loan,Germany,Lower Saxony,120,5.95,20978.9,20-11-2024
248,CON-000248,24,408,Cancelled,Lease,Germany,Bavaria,180,7.96,36657.47,11-12-2023
249,CON-000249,7,1940,In Arrears,Standard Loan,Germany,Bavaria,180,4.24,23181.8,15-11-2024
250,CON-000250,3,324,Active,Subscription,Germany,North Rhine-Westphalia,120,7.22,15172.16,14-07-2024
251,CON-000251,44,1278,Cancelled,Standard Loan,Germany,Hesse,240,7.88,14473.23,16-09-2023
252,CON-000252,18,660,Active,Standard Loan,Germany,Bavaria,120,3.71,27242.88,21-04-2023
253,CON-000253,24,131,Active,Standard Loan,Germany,Bavaria,120,8.35,26460.3,27-01-2024
254,CON-000254,49,1214,Active,Standard Loan,Germany,Hesse,84,5.93,10390.81,27-03-2024
255,CON-000255,12,840,Active,Standard Loan,Germany,Berlin,60,5.03,23921.94,22-09-2023
256,CON-000256,13,487,Active,Subscription,Germany,North Rhine-Westphalia,180,6.01,43465.4,15-12-2023
257,CON-000257,37,1953,Active,Subscription,Netherlands,North Holland,120,8.09,18759.67,30-12-2023
258,CON-000258,13,1906,Active,Standard Loan,Germany,North Rhine-Westphalia,120,8.33,11631.13,29-03-2024
259,CON-000259,17,281,Active,Standard Loan,Germany,North Rhine-Westphalia,180,7.52,13149.53,31-01-2024
260,CON-000260,11,502,Active,PPA,Germany,Baden-Württemberg,120,6.64,28195.74,15-11-2023
261,CON-000261,23,1857,Active,Standard Loan,Germany,North Rhine-Westphalia,180,6.02,33351.04,30-05-2024
262,CON-000262,24,1183,Active,PPA,Germany,Bavaria,60,6.29,43427.19,23-05-2024
263,CON-000263,34,635,Active,PPA,Germany,Baden-Württemberg,120,5.37,30972.92,02-11-2022
264,CON-000264,7,1174,Active,Standard Loan,Germany,Bavaria,180,7.87,25028.17,17-02-2024
265,CON-000265,42,1332,Completed,Standard Loan,Germany,North Rhine-Westphalia,120,7.61,28921.41,17-03-2023
266,CON-000266,32,1246,Active,Lease,Germany,Lower Saxony,60,4.53,13333.62,23-03-2024
267,CON-000267,43,664,Active,Standard Loan,Netherlands,North Brabant,180,8.18,37807.82,24-01-2023
268,CON-000268,9,1979,Completed,Standard Loan,Germany,Berlin,60,4.52,25528.47,08-05-2024
269,CON-000269,4,1315,Completed,Standard Loan,Germany,Hesse,120,4.42,16692.33,05-11-2023
270,CON-000270,34,606,Active,Standard Loan,Germany,Baden-Württemberg,180,5.66,31539.3,01-01-2024
271,CON-000271,39,1606,Active,Standard Loan,Germany,Berlin,120,4.95,11700.73,22-10-2023
